genome_id,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,comments,additional_metadata,complete_mash_cluster,mlst,phylon,mobile_phylons
550.3973,Enterobacter cloacae 2340913,550,Complete,2340913,2022-10-30T00:00:00Z,PRJNA884522,SAMN31029877,GCA_025908355.1,"CP109673,CP109674",,Complete,Oxford Nanopore PromethION,100X,Flye v. v.2.8.3; Minimap2 v. v.2.17;,1,1,2,4961506,55.610104,4829,4680,ascites,2019-06-21,Taiwan,Taiwan,Homo sapiens,,collected_by:Yuan's General Hospital,13.0,25,asburiae,
2876028.10,Enterobacter cloacae complex sp. ECL352,2876028,Complete,ECL352,2021-09-25T00:00:00Z,PRJNA757181,SAMN21399027,,"CP083709,CP083710,CP083711,CP083712,CP083713,CP083714",,Complete,Oxford Nanopore PromethION,550.0x,canu v. 1.6,1,5,6,4958769,55.75757,4932,4801,sputum,2020-09-24,China,"China:Yongchuan District, Chongqing",Homo sapiens,,sample_type:pure culture,13.0,25,asburiae,
69218.43,Enterobacter cancerogenus strain UPC1,69218,Complete,UPC1,2021-01-25T00:00:00Z,PRJEB40359,SAMEA7311505,GCA_904425455.1,"LR881936,LR881937",GMGM,Complete,,,,1,1,2,4935357,55.594234,4731,4722,activated sludge,,Algeria,Algeria,,"Enterobacter cancerogenus sp. UPC1 was isolated from a crude-oil-degrading consortium of a water-treatment plant of Arzew oil refinery, Algeria. Its genomic DNA was sequenced using Illumina MiSeq (2x150bp short read pairs) and Oxford Nanopore (long reads) technologies and assembled using Unicycler. The genome is composed of one 4.81 Mb circular chromosome and one plasmid of 121.76 kb.",,20.0,-1,cancerogenous,
1827481.3,Enterobacter sp. ODB01,1827481,Complete,ODB01,2016-04-19T00:00:00Z,PRJNA317796,SAMN04624399,GCF_001623605.1,CP015227,Hunan Agricultural University,Complete,PacBio,,HGAP v. 2.3.0,,,1,4534036,54.81,4331,4178,crude oil-contaminated soil,2014-09-01,China,China,,"Enterobacter sp. strain ODB01, isolated from crude oil-contaminated soil, is a crude oil-degrading bacterium. The whole genome of Enterobacter sp. Strain ODB01 has been sequenced. It could provide further insight into its genetic basis for crude-oil-degrading.",,10.0,56,kobei,
158836.2202,Enterobacter hormaechei 2020CK-00199,158836,Complete,2020CK-00199,2023-03-02T00:00:00Z,PRJNA812595,SAMN15907134,,"CP118567,CP118568,CP118569,CP118570,CP118571,CP118572,CP118573",,,Oxford Nanopore GridION,20.0x,Unicycler v. 0.5.0,1,6,7,5223933,54.50451,5144,4943,blood,2020-05-06,USA,USA,Homo sapiens,,,2.0,78,hormaechei-hoffmannii-1,
158836.966,Enterobacter hormaechei strain Eho-E2,158836,Complete,Eho-E2,2020-12-10T00:00:00Z,PRJNA599404,SAMN13747519,GCA_015910205.1,"CP047715,CP047716,CP047717,CP047718,CP047719,CP047720",Public Health Ontario,Complete,"Illumina MiSeq, Oxford Nanopore MiniION",100x,Unicycler v. v 0.4.8-BETA,1,5,6,5034810,54.750668,4949,4729,Sewage water,2015-07-23,Canada,Canada:Ontario,,"Epidemiological and microbiological analyses of clinical and environmental Verona Integron encoded Metallo beta Lactamase producing Enterobacteriaceae isolates demonstrate spread to local healthcare facilities and contamination of environmental water in Southern Ontario, Canada, which is probably due to horizontal gene transfer and clonal spread of blaVIM carrying Enterobacter hormaechei.",collected_by:Public Health Ontario,7.0,269,hormaechei-hormaechei,
550.150,Enterobacter cloacae GGT036,550,Complete,GGT036,2014-10-31T00:00:00Z,PRJNA259401,SAMN03005138,GCA_000770155.1,CP009756.1,Korea Institute of Science and Technology,Complete,PacBio 10K,137.73x,SMRT v. 2.2.0,1,,1,4848754,55.03,4426,4467,,,South Korea,South Korea,,Understanding of furfural or other cellular inhibitors- tolerant mechanisms,,21.0,432,cloacae,
2912629.5,Enterobacter cloacae complex sp. ECL411,2912629,Complete,ECL411,2022-02-02T00:00:00Z,PRJNA800172,SAMN25233123,GCA_021869665.1,"CP091486,CP091487,CP091488,CP091489,CP091490,CP091491",,Complete,Oxford Nanopore,100.0x,Unicycler v. 0.4.7,1,5,6,5561019,54.446243,5633,5360,urine,2020-12-13,China,China: Chongqing,,,sample_type:cell culture,2.0,97,hormaechei-hoffmannii-2,unchar-1
550.3091,Enterobacter cloacae strain Colony416,550,Complete,Colony416,2021-07-18T00:00:00Z,PRJNA668870,SAMN17833498,GCA_019265065.1,CP078536,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,88.399x,idba_ud v. V1.1.3,1,0,1,5033927,55.534008,4352,,food,,Thailand,Thailand: Nakhon Ratchasima,,Establishment capacity for Whole genome Sequencing for food-borne outbreaks in Thailand,"collected_by:Department of Disease Control, Ministry of Public Health",21.0,922,cloacae,
158836.784,Enterobacter hormaechei strain RHBSTW-00133,158836,Complete,RHBSTW-00133,2020-07-24T00:00:00Z,PRJNA605147,SAMN15148505,GCA_013624995.1,"CP058146,CP058147,CP058148",University of Oxford,Complete,Hybrid: Illumina and OXFORD_NANOPORE,102.817258643714x,Unicycler v. v0.4.7,1,2,3,5086008,55.01446,4964,4799,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",1.0,286,hormaechei-hoffmannii-2,
550.4102,Enterobacter cloacae RMCH-M23-N,550,Complete,RMCH-M23-N,2023-04-26T00:00:00Z,PRJNA956928,SAMN34233931,,"CP123598,CP123599,CP123600",,,Oxford Nanopore MinION,83x,Flye v. 2.9.1-b1780,1,2,3,5177965,54.498764,5030,4845,Blattella germanica,2019-12-01/2020-03-17,Bangladesh,Bangladesh: Rajshahi,,,sample_type:Bacterial cell culture;collected_by:University of Rajshahi,21.0,-1,cloacae,
158836.782,Enterobacter hormaechei strain RHBSTW-00140,158836,Complete,RHBSTW-00140,2020-07-24T00:00:00Z,PRJNA605147,SAMN15148511,GCA_013624605.1,"CP058128,CP058129,CP058130",University of Oxford,Complete,Hybrid: Illumina and PACBIO_SMRT,117.5130439468x,Unicycler v. v0.4.7,1,2,3,5010945,54.99741,4896,4734,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",1.0,286,hormaechei-hoffmannii-2,
550.155,Enterobacter cloacae 34399,550,Complete,34399,2015-01-05T00:00:00Z,PRJNA259658,SAMN03067418,GCA_000814225.1,"CP010384.1,CP010386.1,CP010387.1,CP010385.1",JCVI,Complete,Pacbio RS,9.35x,HGAP v. 3,1,3,4,5056146,55.1,4706,4670,Excreted bodily substance,2011,USA,Illinois,"Human, Homo sapiens","Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",,8.0,114,hormaechei-xiangfangensis,unchar-4
299767.325,Enterobacter ludwigii RHB28-E3-C01,299767,Complete,RHB28-E3-C01,2023-04-13T00:00:00Z,PRJNA605147,SAMN15488597,,CP099310,,,Illumina/Nanopore,176x,Unicycler v. v0.4.4,1,0,1,4687823,54.741615,4479,4358,Pooled sediment sample collected from floor of pig farm,2017,United Kingdom,United Kingdom,,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",19.0,-1,ludwigii,
1812935.33,Enterobacter roggenkampii strain ECY546,1812935,Complete,ECY546,2019-02-05T00:00:00Z,PRJNA494999,SAMN10188240,GCA_004138605.1,"CP032916,CP032915",Wenzhou Medical University,Complete,PacBio RSII,100.0x,canus v. 1.6,1,1,2,4996659,55.88276,4888,4761,"human clinical specimens, and E",2008-10-30,China,China:Wenzhou,"Human, Homo sapiens","Currently, E. cloacae and E. hormaechei are most frequently isolated from human clinical specimens, and E. cloacae is among the Enterobacter sp. that have most commonly caused nosocomial infections in the last decade. Furthermore, E. cloacae has assumed clinical importance and has emerged as a major human pathogen.",sample_type:single culture,12.0,466,roggenkampii,
61645.296,Enterobacter asburiae strain A2563,61645,Complete,A2563,2020-02-06T00:00:00Z,PRJDB9129,SAMD00197875,GCA_011396735.1,AP022628,"Microbiology, Juntendo University School of Medicine",Complete,MiSeq; MinION,1.00x,Unicycler v. 0.4.4,1,0,1,4808368,55.76942,4614,4527,,2018,Japan,Japan:Saitama,"Human, Homo sapiens",A total of 32 clinical isolates of E. cloacae complex non-susceptible to carbapenems were obtained from patients at 13 hospitals in Japan. Whole genome sequencing (WGS) was conducted using MiSeq.,,14.0,484,asburiae,
1812934.11,Enterobacter cloacae complex 'Hoffmann cluster III' strain AR_0365,1812934,Complete,AR_0365,2018-04-25T00:00:00Z,PRJNA316321,SAMN07291508,GCA_002968455.1,"CP027142,CP027144,CP027145,CP027143,CP027141",FDA/CDC,Complete,Pacbio; Illumina,16.64x,SMRT v. 2.3.0; HGAP v. 3.0; SPAdes v.,1,4,5,5334198,54.61608,5309,5231,,,,,,"The AR Isolate Bank is a centralized repository of microbial pathogens with well-characterized resistance profiles that are assembled by CDC in collaboration with the Food and Drug Administration (FDA). The AR Bank is available to support and advance development of diagnostic devices and antimicrobial drug products. The AR Isolate Bank also supports the National Action Plan for Combating Antibiotic Resistance Bacteria by advancing the development of diagnostic tests to identify and characterize resistant bacteria, and by accelerating research and development for new antibiotics.The AR Isolate Bank includes collections of bacterial pathogens that are associated with known or emerging resistance mechanisms. Since its launch in July 2015, the AR Bank continues to grow and will eventually include genera and species such as Enterobacteriaceae, Pseudomonas aeruginosa, Staphylococcus, Enterococcus, Streptococcus, Salmonella, and Neisseria gonorrhoeae.Each pathogen listed on this web site includes information regarding its susceptibility and/or resistance profile(s), known resistance biomarkers, isolate characteristics, and associated data in PDF.Use this web site to search through pathogen panels, find additional information about the available isolates, and find procedures for requesting panels.",,2.0,425,,unchar-1
550.1528,Enterobacter cloacae strain AR_0093,550,Complete,AR_0093,2018-03-19T00:00:00Z,PRJNA292904,SAMN04014934,GCA_003053755.1,"CP027604,CP027605,CP027606",Centers for Disease Control and Prevention,Complete,PacBio RSII,189x,HGAP v. 2.3,1,2,3,4980809,55.15014,4889,4810,,,,,,Collection of bacterial pathogens that are assembled to challenge assays that detect carbapenemase production representing a range of gram-negative bacteria,,8.0,114,hormaechei-xiangfangensis,
158836.1098,Enterobacter hormaechei strain RIVM_C010068,158836,Complete,RIVM_C010068,2021-03-03T00:00:00Z,PRJNA695145,SAMN17615668,GCA_017161765.1,"CP071025,CP071026",National Institute for Public Health and the Environment,Complete,Oxford Nanopore MiniION,30x,Unicycler v. 0.4.4,1,1,2,4874140,55.00433,4707,4563,,2015,Netherlands,Netherlands,Homo sapiens,"Carbapenemases produced by Enterobacterales are often encoded by genes on transferable plasmids and represent a major health care problem, especially if the plasmids contain additional antibiotic resistance genes. As part of the Dutch national surveillance, medical microbiological laboratories submit Enterobacterales isolates suspected of carbapenemase production to the National Institute for Public Health and the Environment for characterization. In this study, the objective was to study the molecular characteristics of a genetic cluster of Enterobacter cloacae complex isolates collected in the period between 2015-2020.",sample_type:Chromosome,2.0,78,hormaechei-hoffmannii-1,
158836.800,Enterobacter hormaechei strain RHBSTW-00626,158836,Complete,RHBSTW-00626,2020-07-27T00:00:00Z,PRJNA605147,SAMN15148666,GCA_013734915.1,"CP056691,CP056692,CP056693,CP056694,CP056695,CP056696",University of Oxford,Complete,Hybrid: Illumina and OXFORD_NANOPORE,104.344886308208x,Unicycler v. v0.4.7,1,5,6,5053619,55.047382,4993,4828,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",1.0,286,hormaechei-hoffmannii-2,unchar-4
158836.850,Enterobacter hormaechei strain NJGLYY90-CR,158836,Complete,NJGLYY90-CR,2020-09-28T00:00:00Z,PRJNA659615,SAMN14450178,GCA_014771415.1,"CP061744,CP061745,CP061746,CP061747,CP061748",Nanjing Drum Tower Hospital,Complete,Oxford Nanopore PromethION; Illumina,177.47x,Unicycler v. v0.4.8,1,4,5,5091488,54.92312,5061,4856,secretion,,China,"China: Jiangsu, Nanjing","Human, Homo sapiens","Genome sequencing of pathogenic bacteria (Klebsiella pneumoniae, Escherichia coli, Enterobacter cloacae, etc.)",collected_by:Xiaoli Cao;sample_type:cell culture,8.0,418,hormaechei-xiangfangensis,unchar-1;unchar-2
550.3910,Enterobacter cloacae 2022CK-00409,550,Complete,2022CK-00409,2022-09-27T00:00:00Z,PRJNA812595,SAMN29981189,GCA_025426135.1,"CP104836,CP104837,CP104838,CP104839,CP104840,CP104841,CP104842",,Complete,Oxford Nanopore GridION; Illumina MiSeq,126.0x,Flye v. 2.9; Medaka v. 1.6.1,1,6,7,5786228,54.485825,5963,5692,other,2022-06-28,USA,USA,Homo sapiens,,,21.0,837,cloacae,unchar-3
550.486,Enterobacter cloacae strain CAV1411,550,Complete,CAV1411,2015-06-09T00:00:00Z,PRJNA246471,SAMN03733769,GCF_001022075.1,"CP011581,CP011579,CP011580",University of Oxford,Complete,PacBio,122X,HGAP3 v. 2.2.0,1,2,3,5005065,55.33,4864,4609,Respiratory,2011-06,USA,USA:Virginia,"Human, Homo sapiens","Multi-drug resistant gram negative bacteria (also known as “Superbugs”) are causing infections in vulnerable patients in hospitals around the world. Much of the clinically relevant antibiotic resistance in these bacteria is driven by genes carried on mobile pieces of DNA called plasmids. A particularly significant resistance mechanism called the Klebsiella pneumoniae carbapenemase (KPC) is capable of hydrolyzing all penicillins, cephalosporins and carbapenems leaving very few therapeutic options for patients infected with blaKPC positive Enterobacteriaeceae. Unfortunately, the tools that we use for tracking of hospital transmission of bacteria do not focus on plasmids but rather the genome of the bacterium which has acquired the plasmid. Our project is to explore the blaKPC plasmid transmission across species in a single institution in Virginia where KPC-producing Gammaproteobacteria are endemic over several years using whole genome sequencing to gain insights into plasmid transmission and evolution of genes of drug resistance.",collected_by:Clinical Microbiology University of Virginia Health System,4.0,93,hormaechei-steigerwaltii-2,
158836.1674,Enterobacter hormaechei Eh65,158836,Complete,Eh65,2022-05-25T00:00:00Z,PRJNA633449,SAMN14943921,GCA_023547485.1,"CP053643,CP053644,CP053645,CP053646,CP053647,CP053648",,Complete,Oxford Nanopore,110.0x,Unicycler v. v0.4.8,1,5,6,5123225,54.8014,5065,4859,Bronchial,2017-09-25,China,China: Guangdong,Homo sapiens,,collected_by:Shenzhen People's Hospital,8.0,418,hormaechei-xiangfangensis,unchar-1;unchar-2
1296536.149,Enterobacter hormaechei subsp. xiangfangensis OSUCZKPC4-140,1296536,Complete,OSUCZKPC4-140,2022-02-23T00:00:00Z,PRJNA686409,SAMN17117771,GCA_022376815.1,"CP066553,CP066554,CP066555,CP066556",,Complete,PacBio RS,100.0x,Canu v. 1.4,1,3,4,5244071,54.691803,5312,5057,zoo environmental surface,2016,USA,USA: Ohio,,,sample_type:Genomic DNA,9.0,171,hormaechei-xiangfangensis,unchar-4
158836.968,Enterobacter hormaechei strain Eho-6,158836,Complete,Eho-6,2020-12-10T00:00:00Z,PRJNA599404,SAMN13747512,GCA_015910245.1,"CP047729,CP047730,CP047731,CP047732,CP047733,CP047734,CP047735",Public Health Ontario,Complete,"Illumina MiSeq, Oxford Nanopore MiniION",100x,Unicycler v. v 0.4.8-BETA,1,6,7,5066589,54.72593,4990,4757,Rectal,2014-02-25,Canada,Canada:Ontario,,"Epidemiological and microbiological analyses of clinical and environmental Verona Integron encoded Metallo beta Lactamase producing Enterobacteriaceae isolates demonstrate spread to local healthcare facilities and contamination of environmental water in Southern Ontario, Canada, which is probably due to horizontal gene transfer and clonal spread of blaVIM carrying Enterobacter hormaechei.",collected_by:Public Health Ontario,7.0,269,hormaechei-hormaechei,
158836.805,Enterobacter hormaechei strain RHBSTW-00217,158836,Complete,RHBSTW-00217,2020-07-27T00:00:00Z,PRJNA605147,SAMN15148546,GCA_013743755.1,"CP056747,CP056748,CP056749,CP056750",University of Oxford,Complete,Hybrid: Illumina and OXFORD_NANOPORE,103.499277906647x,Unicycler v. v0.4.7,1,3,4,4808935,55.579082,4623,4461,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",3.0,108,hormaechei-oharae,
550.3324,Enterobacter cloacae GX1Z-1L,550,Complete,GX1Z-1L,2022-01-18T00:00:00Z,PRJNA714529,SAMN18311224,GCA_021497605.1,"CP071861,CP071862",,Complete,Oxford Nanopore PromethION,100.0x,Canu v. v1.3,1,1,2,5095327,54.545742,5044,4828,,2019-05,China,China:Guangxi,Swine,,sample_type:genomic assembly;collected_by:Jiangang Ma,21.0,524,cloacae,
550.2256,Enterobacter cloacae strain Effluent_4,550,Complete,Effluent_4,2019-04-21T00:00:00Z,PRJNA529503,SAMN11268908,GCA_004801595.1,"CP039303,CP039305,CP039306,CP039307,CP039304,CP039308,CP039309,CP039310",University of Oxford,Complete,Hybrid assembly: Illumina HiSeq 4000 and,30x,Unicycler v. v0.4.0,1,7,8,5393286,54.576275,5264,5116,Treated sewage effluent,2016,United Kingdom,United Kingdom: Cholsey Sewage Treatment Works,,"In this pilot study we used shotgun metagenomics and sequencing of cultured isolates from the same samples to help establish optimum protocols and approaches for sample processing. We sampled three potential environmental AMR gene reservoirs (pig caeca, river sediment, effluent) and sequenced these samples with shotgun metagenomics at high depth (~200 million reads per sample). Alongside this, we cultured multiple single-colony isolates of Enterobacteriaceae from the same samples and used hybrid sequencing (short- and long-reads) to create high-quality assemblies for comparison to the metagenomic data.",sample_type:Single colony culture,21.0,1421,cloacae,
158836.344,Enterobacter hormaechei strain PG20180049,158836,Complete,PG20180049,2019-08-29T00:00:00Z,PRJNA560883,SAMN12603274,GCA_008124025.1,CP043226,National Microbiology Laboratory at Guelph,Complete,Illumina MiSeq and Nanopore,109x,Unicycler v. 0.4.3,1,,1,4635256,55.55346,4424,4326,mouse gut,2018-05-18,,,,"Humans and farm animals commonly consume food- or waterborne bacteria that harbour antibiotic resistance genes. The fate and potential horizontal gene transfer of those genes into the host microbiome will have a crucial bearing on the eventual health risk of exposure to antibiotic resistance genes. In the present study, the effects of antibiotics on the in vivo transfer of 𝛽-lactam resistance genes were evaluated in a mouse model by characterizing the microbiome in excreted feces. Mice were dosed with Escherichia coli, Salmonella enterica serovars Heidelberg or Bredeney referred to as donors. The in vivo transfer of the antibiotic resistance genes (blaTEM-1B, blaCMY-2, blaCTX-M1, etc.) from these donor bacteria to an exogenously introduced or endogenously present Escherichia coli strains (i.e. recipients) in the mouse gut was evaluated with or without a clinical dosage of ampicillin.",collected_by:Canadian Food Inspection Agency,6.0,662,,
1686396.3,Enterobacter sp. BIDMC93,1686396,Complete,BIDMC93,2015-07-21T00:00:00Z,PRJNA271899,SAMN03280188,GCF_001037805.1,LETL00000000,Broad Institute,Complete,Illumina,135.0x,allpaths v. R48559,,,1,4701014,55.52,4369,4273,,2013,,,"Human, Homo sapiens",Sequencing of Carbapenem resistant bacteria Genome sequencing,,6.0,677,hormaechei-steigerwaltii-1,
299766.107,Enterobacter hormaechei subsp. steigerwaltii strain ME-1,299766,Complete,ME-1,2019-07-27T00:00:00Z,PRJNA549322,SAMN12306076,GCA_007556795.1,"CP041733,CP041734,CP041735,CP041736,CP041737",Hackensack-Meridian Health Center for Discovery and Innovation,Complete,Oxford Nanopore MiniION; Illumina HiSeq,100.0x,Unicycler v. v0.4.8-beta,1,4,5,5091865,55.05405,5023,4882,,2018,,,,"Whole genome sequencing of common multidrug-resistant organisms, such as Methicillin-Resistant Staphylococcus aureus (MRSA), Carbapenem-Resistant Enterobacteriaceae (CRE), and Multi-drug-resistant tuberculosis (MDR-TB).",collected_by:CDI,6.0,1439,hormaechei-steigerwaltii-1,unchar-1
2912628.5,Enterobacter cloacae complex sp. ECL414,2912628,Complete,ECL414,2022-02-02T00:00:00Z,PRJNA800171,SAMN25233122,GCA_021869685.1,"CP091481,CP091482,CP091483,CP091484,CP091485",,Complete,Oxford Nanopore,100.0x,Unicycler v. 0.4.7,1,4,5,5201118,54.579014,5114,4936,sputum,2021-10-13,China,China: Chongqing,,,sample_type:cell culture,10.0,365,kobei,unchar-1
158836.491,Enterobacter hormaechei strain BW,158836,Complete,BW,2020-01-27T00:00:00Z,PRJNA434358,SAMN08554725,GCA_009930935.1,"CP027111,CP027112,CP027113",Penn State University,Complete,PacBio; Illumina HiSeq,150.0x,Canu for assembly of PacBio reads v. 1.6;,1,2,3,5255981,54.9045,5194,5056,,2014-05-30,USA,"USA: Ann Arbor, Michigan","Human, Homo sapiens","This whole genome sequencing project involves a patient who had a reoccurring Enterobacter hormaechei bacteremia. The infection spanned about 10 months, from the onset of the infection to the death of the patient. During that time, the infection evolved resistance to the multiple antibiotics used to treat it, including the very important class of carbapenems. Bacterial isolates with progressively higher levels of resistance were drawn from the patient at different time points. Later, these isolates were sequenced in order to identify the genetic determinants of the resistance. While all the isolates were sequenced on an Illumina platform, the last isolate to be drawn from the patient, called 56, was also sequenced on a PacBio platform. Because both PacBio and Illumina reads were available, the de novo assembly of the reads from 56 yielded a complete ungapped genomic sequence, consisting of a chromosome and two plasmids.",collected_by:Robert Wood,6.0,110,hormaechei-steigerwaltii-1,
550.2443,Enterobacter cloacae strain 4928STDY7071341,550,Complete,4928STDY7071341,2019-07-09T00:00:00Z,PRJEB22252,SAMEA104567451,GCA_902164705.1,LR607332,SC,Complete,,,,1,,1,5077894,54.984196,4781,,faecal,2018,United Kingdom,United Kingdom,"Human, Homo sapiens","The study investigates how early microbe exposure and the developing immune system influence subsequent health and developmental outcomes. Culturing efforts coupled with whole genome sequencing of the gastrointestinal bacteria can address key questions that are computationally non-trivial using shotgun metagenomics alone. This comprehensive gut microbiota-derived bacterial genome collection provides the basis to improve the taxonomic classification resolution of metagenomic analysis, and to allow subsequent in vitro and in vivo experiments on host physiology and gut colonisation process. To get a broad and comprehensive coverage of the gut microbiota, we cultivated bacterial species from human faecal samples on different selectice agar media and broth. Samples are whole-genome sequenced on Illumina X10 150bp PE. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",,2.0,-1,,unchar-3
1812935.466,Enterobacter roggenkampii RHB21-E1-C01,1812935,Complete,RHB21-E1-C01,2023-04-13T00:00:00Z,PRJNA605147,SAMN15488572,,CP099308,,,Illumina/Nanopore,149x,Unicycler v. v0.4.4,1,0,1,4734159,55.910416,4555,4440,Pooled sediment sample collected from floor of cattle farm,2017,United Kingdom,United Kingdom,,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",12.0,1292,roggenkampii,
550.2453,Enterobacter cloacae strain 4928STDY7071152,550,Complete,4928STDY7071152,2019-07-09T00:00:00Z,PRJEB22252,SAMEA104567276,GCA_902166485.1,LR607340,SC,Complete,,,,1,,1,4975856,55.452244,4762,,faecal,2018,United Kingdom,United Kingdom,"Human, Homo sapiens","The study investigates how early microbe exposure and the developing immune system influence subsequent health and developmental outcomes. Culturing efforts coupled with whole genome sequencing of the gastrointestinal bacteria can address key questions that are computationally non-trivial using shotgun metagenomics alone. This comprehensive gut microbiota-derived bacterial genome collection provides the basis to improve the taxonomic classification resolution of metagenomic analysis, and to allow subsequent in vitro and in vivo experiments on host physiology and gut colonisation process. To get a broad and comprehensive coverage of the gut microbiota, we cultivated bacterial species from human faecal samples on different selectice agar media and broth. Samples are whole-genome sequenced on Illumina X10 150bp PE. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",,6.0,1015,hormaechei-steigerwaltii-1,unchar-4
208224.341,Enterobacter kobei CDL29,208224,Complete,CDL29,2022-05-31T00:00:00Z,PRJNA705514,SAMN18091014,GCA_023612495.1,CP071178,,Complete,PacBio Sequel,440.0x,FALCON v. 0.7,1,0,1,4659650,54.994217,4368,4256,soil,2018-02-28,China,China:Jiangsu,,,sample_type:Tissue samples,10.0,777,kobei,
539813.36,Enterobacter mori ACYC.E9L,539813,Complete,ACYC.E9L,2022-02-06T00:00:00Z,PRJNA801791,SAMN25390741,GCA_022014715.1,"CP091779,CP091780",,Complete,Illumina MiSeq; Oxford Nanopore MinION,72.0x,Unicycler v. 0.4.8-beta,1,1,2,4844012,55.5479,4580,4478,freshwater stream,2019-09,Hong Kong,Hong Kong: Pokfulam,,,sample_type:Pure isolate;collected_by:Allison C. Y. Cheung,17.0,-1,,
299767.18,Enterobacter ludwigii strain EN-119,299767,Complete,EN-119,2016-10-03T00:00:00Z,PRJNA343411,SAMN05787341,GCF_001750725.1,"CP017279,CP017280",Zhejiang Sci-Tech University,Complete,PacBio,69x,HGAP v. HGAP3,1,1,2,4952770,54.6,4696,4547,,,,,"Human, Homo sapiens",Enterobacter ludwigii strain EN-119 genome,,19.0,714,ludwigii,
